approach,segment,n_clients,pct_of_total,avg_age,avg_satisfaction,loan_applied_rate,pct_investment_purpose,pct_company,top_country,top_region,top_referral_channel
Data-Driven,Satisfied Established Buyers,420,0.21,70.4,4.5,0.333,0.274,0.031,USA,California,Website
Data-Driven,At-Risk Established Buyers,605,0.302,70.3,2.07,0.36,0.278,0.023,USA,California,Website
Data-Driven,Satisfied Newer Buyers,585,0.292,40.6,4.02,0.397,0.342,0.079,USA,California,Website
Data-Driven,At-Risk Newer Buyers,390,0.195,40.9,1.44,0.374,0.338,0.077,USA,California,Website
Rule-Based,First-Time Buyers,1318,0.659,56.7,3.03,0.359,0.0,0.0,USA,California,Website
Rule-Based,Corporate Buyers,103,0.051,47.9,3.07,0.417,0.35,1.0,USA,California,Website
Rule-Based,Luxury Investors,239,0.119,55.3,4.49,0.423,1.0,0.0,USA,California,Website
Rule-Based,Global Investors,340,0.17,55.6,1.99,0.35,1.0,0.0,USA,California,Website
