segment,n_clients,pct_of_total,pct_investment_purpose,pct_home_purpose,top_country,top_country_pct,top_region,top_region_pct,loan_applied_rate,avg_age,pct_female,pct_male,pct_company,pct_individual,avg_satisfaction,avg_total_investment,avg_purchase_price,avg_properties_owned,avg_buying_tenure_years
Global Investors,579,0.289,1.0,0.0,USA,0.765,California,0.311,0.38,55.5,0.496,0.504,0.0,1.0,3.02,1592667.0,360024.0,4.4,11.4
First-Time Buyers,1186,0.593,0.0,1.0,USA,0.768,California,0.321,0.379,56.1,0.497,0.503,0.0,1.0,2.87,415967.0,293540.0,1.44,11.3
Corporate Buyers,103,0.051,0.35,0.65,USA,0.777,California,0.291,0.417,47.9,0.388,0.612,1.0,0.0,3.07,3207006.0,444903.0,7.33,10.1
Luxury Investors,132,0.066,0.0,1.0,USA,0.788,California,0.318,0.174,61.9,0.545,0.455,0.0,1.0,4.5,716366.0,354098.0,2.0,12.4
